COD_ITEM        Cont04	Cont08	Cont12	Cont16	Cont26	Cont52	ContAno	ContTt      Total Geral         Metodo     MetEst       Md04    Md08      Md12        Md16          Md26         Md52       MdAno       MdTt          Máximo       TP_Metodo              Metodo      MetEst       Estoque    Reposição      Fx_Giro                                       Giro                                                                                        
002.000.127     4	     8	    12	    16	    26	    52	    50	    118         3.467               52         832          41      52        41          41            39           35         36          26            98           1.ORDINÁRIOS           52          832          586        246            E.ATÉ TRÊS MESES DE ESTOQUE                   11,0                                                                                           
007.000.004     4	     8	    12	    16	    26	    51	    49	    117         1.013               7          112          5       5         5           5             5            6          6           7             40           1.ORDINÁRIOS           7           112          124        0              G.ATÉ DOZE MESES DE ESTOQUE                   18,0                                                                                    
005.000.001     4	     8	    12	    16	    26	    52	    50	    118         63.208              579        9.264        501     579       541         529           556          496        496         522           1.009        1.ORDINÁRIOS           579         9.264        3.756      5.508          D.ATÉ DOIS MESES DE ESTOQUE                   6,0                                                                                                         
002.000.014     4	     8	    12	    16	    26	    51	    49	    117         29.045              340        5.440        250     270       320         340           305          250        250         220           700          1.ORDINÁRIOS           340         5.440        5.710      0              G.ATÉ DOZE MESES DE ESTOQUE                   17,0                                                                                                   
001.000.003     4	     6	    9	    12	    15	    32	    32	    81          4.100               40         640          30      30        30          30            30           30         30          40            150          1.ORDINÁRIOS           40          640          2.070      0              G.ATÉ DOZE MESES DE ESTOQUE                   52,0                                                                                            
021.001.030     4	     8	    12	    16	    26	    52	    50	    118         201.422             2.313      37.008       2.313   2.295     2.285       2.285         2.255        2.078      2.093       1.718         2.910        1.ORDINÁRIOS           2.313       37.008       13.223     23.785         D.ATÉ DOIS MESES DE ESTOQUE                   6,0                                                                                                                      
323.001.001     4	     8	    12	    16	    26	    52	    50	    118         509.606             5.041      80.656       4.600   5.025     5.041       5.041         5.025        4.665      4.746       4.307         6.151        1.ORDINÁRIOS           5.041       80.656       62.036     18.620         E.ATÉ TRÊS MESES DE ESTOQUE                   12,0                                                                                                                      
002.000.015     4	     8	    12	    16	    26	    52	    50	    118         12.628              105        1.680        65      91        87          85            85           88         88          105           210          1.ORDINÁRIOS           105         1.680        1.306      374            E.ATÉ TRÊS MESES DE ESTOQUE                   12,0                                                                                                  
009.000.009     1	     1	    1	    1	    1	    3	    3	    3           3                   0          0            1       1         1           1             1            1          1           1             1            2.INTERMITENTES        0           0            69         0              B.ZERADOS COM DISPENSAÇÕES                    0,0                                                                                  
307.001.001     4	     8	    12	    16	    26	    52	    50	    117         44.520              450        7.200        435     450       435         420           435          420        420         390           750          1.ORDINÁRIOS           450         7.200        6.270      930            F.ATÉ QUATRO MESES DE ESTOQUE                 14,0                                                                                                       
021.001.094     4	     8	    12	    16	    26	    52	    50	    98          11.933              165        2.640        165     150       150         135           150          150        150         120           390          1.ORDINÁRIOS           165         2.640        3.240      0              G.ATÉ DOZE MESES DE ESTOQUE                   20,0                                                                                                   
011.001.002     4	     8	    12	    16	    26	    52	    50	    118         1.746               13         208          9       7         7           7             7            9          9           13            47           1.ORDINÁRIOS           13          208          207        1              F.ATÉ QUATRO MESES DE ESTOQUE                 16,0                                                                                        
002.000.144     4	     8	    12	    16	    26	    46	    46	    77          303                 4          64           4       3         3           3             4            4          4           2             27           1.ORDINÁRIOS           4           64           130        0              G.ATÉ DOZE MESES DE ESTOQUE                   33,0                                                                                   
021.001.061     4	     8	    12	    16	    25	    50	    48	    109         1.194               18         288          8       10        12          15            18           11         11          9             44           1.ORDINÁRIOS           18          288          149        139            D.ATÉ DOIS MESES DE ESTOQUE                   8,0                                                                                          
001.000.016     0	     1	    1	    1	    2	    8	    7	    20          1.120               22         352          0       40        40          40            50           50         40          40            180          2.INTERMITENTES        22          352          360        0              F.ATÉ QUATRO MESES DE ESTOQUE                 16,0                                                                                               
304.001.003     2	     6	    10	    12	    19	    41	    40	    87          2.438               30         480          29      10        10          14            23           30         30          23            86           1.ORDINÁRIOS           30          480          509        0              G.ATÉ DOZE MESES DE ESTOQUE                   17,0                                                                                         
002.000.098     1	     2	    2	    3	    5	    12	    10	    25          41                  1          16           1       1         1           1             1            1          1           1             4            2.INTERMITENTES        1           16           15         1              F.ATÉ QUATRO MESES DE ESTOQUE                 15,0                                                                                      
303.003.001     4	     8	    12	    16	    26	    52	    50	    118         45.113              390        6.240        358     345       360         360           360          360        360         390           690          1.ORDINÁRIOS           390         6.240        5.746      494            F.ATÉ QUATRO MESES DE ESTOQUE                 15,0                                                                                                       
009.000.008     1	     4	    6	    9	    13	    25	    25	    44          88                  2          32           1       2         1           1             2            2          2           2             6            2.INTERMITENTES        2           32           36         0              G.ATÉ DOZE MESES DE ESTOQUE                   18,0                                                                                    
005.000.002     4	     8	    12	    16	    26	    52	    50	    118         42.476              370        5.920        310     330       370         360           340          320        315         340           860          1.ORDINÁRIOS           370         5.920        5.570      350            F.ATÉ QUATRO MESES DE ESTOQUE                 15,0                                                                                                       
005.000.003     4	     8	    12	    16	    26	    52	    50	    118         36.968              350        5.600        350     330       350         335           335          315        300         305           720          1.ORDINÁRIOS           350         5.600        5.360      240            F.ATÉ QUATRO MESES DE ESTOQUE                 15,0                                                                                                       
005.000.032     2	     2	    4	    6	    9	    18	    17	    25          118                 2          32           6       6         5           6             5            6          6           6             8            2.INTERMITENTES        2           32           19         13             E.ATÉ TRÊS MESES DE ESTOQUE                   10,0                                                                                     
307.001.002     4	     8	    12	    16	    26	    52	    50	    118         37.090              420        6.720        390     420       405         390           360          360        360         330           630          1.ORDINÁRIOS           420         6.720        6.750      0              F.ATÉ QUATRO MESES DE ESTOQUE                 16,0                                                                                                     
002.000.060     4	     8	    12	    16	    26	    51	    49	    112         1.956               17         272          17      14        14          13            13           14         14          14            70           1.ORDINÁRIOS           17          272          206        66             E.ATÉ TRÊS MESES DE ESTOQUE                   12,0                                                                                          
005.000.013     4	     8	    12	    16	    26	    52	    50	    118         95.755              1.035      16.560       906     993       1.035       1.035         1.014        908        908         786           1.540        1.ORDINÁRIOS           1.035       16.560       13.675     2.885          F.ATÉ QUATRO MESES DE ESTOQUE                 13,0                                                                                                                 
002.000.019     4	     8	    12	    16	    26	    52	    50	    118         75.621              655        10.480       580     620       640         640           620          640        640         655           1.060        1.ORDINÁRIOS           655         10.480       5.000      5.480          D.ATÉ DOIS MESES DE ESTOQUE                   8,0                                                                                                          
003.000.001     0	     1	    2	    3	    4	    12	    11	    27          1.050               20         320          0       20        60          60            45           25         30          30            100          2.INTERMITENTES        20          320          600        0              G.ATÉ DOZE MESES DE ESTOQUE                   30,0                                                                                             
023.001.001     4	     8	    12	    16	    26	    52	    50	    118         47.260              615        9.840        615     615       540         525           465          413        413         360           1.110        1.ORDINÁRIOS           615         9.840        5.400      4.440          E.ATÉ TRÊS MESES DE ESTOQUE                   9,0                                                                                                         
003.000.016     4	     8	    12	    16	    26	    51	    49	    116         27.772              315        5.040        285     315       315         315           285          270        270         210           750          1.ORDINÁRIOS           315         5.040        3.940      1.100          F.ATÉ QUATRO MESES DE ESTOQUE                 13,0                                                                                                         
005.000.006     4	     8	    12	    16	    25	    51	    49	    114         17.892              185        2.960        185     140       155         150           150          150        150         150           360          1.ORDINÁRIOS           185         2.960        2.860      100            F.ATÉ QUATRO MESES DE ESTOQUE                 15,0                                                                                                       
001.000.025     1	     4	    5	    7	    11	    17	    17	    20          2.152               41         656          60      105       60          60            60           120        120         120           300          2.INTERMITENTES        41          656          3.468      0              H.OUTROS COM MAIS DE DOZE MESES DE ESTOQUE    85,0                                                                                                                 
